Orthogroup	Smed_jakke	g_tig_TfinalCDS
OG0000445	MSTRG.9555.4.p1, SMEST030445001.1.p1	m.35908_1
OG0000445	MSTRG.5652.5.p1, MSTRG.5652.7.p1, SMEST015585001.1.p1	m.10026_1
OG0000446	MSTRG.14755.1.p1	m.3502_1
OG0000446	SMEST075252002.1.p1, MSTRG.22121.4.p1, SMEST075252001.1.p1	m.4796_1
OG0000446	MSTRG.13794.6.p1, MSTRG.13794.4.p2, MSTRG.13794.3.p2, SMEST044296001.1.p1	m.2014_1
OG0000446	SMEST076939001.1.p1	m.876_1
OG0000446	SMEST058073001.1.p1	m.888_1
OG0000446	MSTRG.20168.1.p1	m.5163_1
OG0000446	MSTRG.16752.2.p1	m.6891_1
OG0000448	SMEST017729002.1.p1	m.7856_1
OG0000448	SMEST009894001.1.p1	m.7874_1
OG0000448	SMEST020326001.1.p1	m.43682_1
OG0000448	MSTRG.1402.2.p1, SMEST001687001.1.p1	m.1742_1
OG0000448	MSTRG.1743.3.p1, SMEST005975001.1.p1	m.1744_1
OG0000449	MSTRG.22837.3.p1, SMEST081487001.1.p1	m.2144_1
OG0000449	MSTRG.16700.3.p1, SMEST055191002.1.p1	m.6186_1
OG0000449	SMEST026676001.1.p1	m.26907_1
OG0000449	SMEST005418001.1.p1	m.3677_1
OG0000449	SMEST081983001.1.p1, MSTRG.22906.11.p1, MSTRG.22906.4.p1	m.873_1
OG0000449	SMEST054823001.1.p1, SMEST026774001.1.p1	m.7767_1
OG0000449	SMEST075477001.1.p1, SMEST017017001.1.p1	m.1183_1
OG0000451	SMEST000964001.1.p1	m.18303_1
OG0000455	SMEST056159002.1.p1	m.19899_1
OG0000455	MSTRG.11576.5.p1, SMEST035891003.1.p1	m.6426_1
OG0000457	MSTRG.5748.5.p1, SMEST016158002.1.p1, MSTRG.5748.4.p1	m.5189_1
OG0000458	MSTRG.5137.10.p1, SMEST016735001.1.p1, SMEST016735004.1.p1, SMEST016735002.1.p1, MSTRG.5137.7.p1, MSTRG.5137.15.p3, MSTRG.5137.18.p1, MSTRG.5137.15.p2, MSTRG.5137.17.p2, MSTRG.5137.11.p2, MSTRG.5137.12.p2	m.32836_1
OG0000458	MSTRG.5137.4.p1	m.32842_1, m.32841_1
OG0000462	SMEST049872001.1.p1, MSTRG.15331.2.p1	m.5838_1
OG0000462	MSTRG.10208.1.p1, SMEST031022002.1.p1	m.4281_1
OG0000463	SMEST054585001.1.p1, SMEST054585004.1.p1, SMEST054585007.1.p1, SMEST054585009.1.p1	m.25404_1
OG0000463	MSTRG.15629.12.p1	m.24093_1
OG0000463	MSTRG.15629.9.p1, MSTRG.15629.8.p1, MSTRG.15629.7.p1, MSTRG.15629.11.p1, SMEST058569003.1.p1, SMEST058569010.1.p1	m.24090_1, m.24091_1
OG0000463	MSTRG.19678.10.p2, MSTRG.19678.13.p1, MSTRG.19678.14.p1, MSTRG.19678.8.p1, SMEST066308002.1.p1, SMEST066308004.1.p1, MSTRG.19678.2.p1, MSTRG.19678.9.p1	m.35320_1, m.35319_1
OG0000464	MSTRG.13789.1.p1, MSTRG.13789.4.p1	m.19897_1
OG0000464	SMEST044157001.1.p1	m.1726_1
OG0000464	MSTRG.15365.1.p1, MSTRG.22851.4.p1, MSTRG.22851.1.p1	m.2298_1
OG0000464	SMEST044147002.1.p1	m.3619_1
OG0000464	MSTRG.13533.4.p1, SMEST043454001.1.p1	m.1105_1
OG0000464	MSTRG.22276.1.p1	m.4283_1
OG0000464	SMEST017457001.1.p1	m.2522_1
OG0000464	MSTRG.8073.1.p1, SMEST024495001.1.p1	m.6221_1
OG0000465	MSTRG.678.1.p2	m.712_1
OG0000465	MSTRG.15559.2.p1, MSTRG.15559.4.p1, SMEST050057001.1.p1, MSTRG.15559.3.p1	m.8208_1
OG0000465	SMEST065257001.1.p1, MSTRG.22766.1.p1, SMEST081245001.1.p1	m.16528_1
OG0000465	MSTRG.17452.3.p2, SMEST064101001.1.p1	m.3220_1
OG0000465	MSTRG.6625.1.p1	m.18118_1
OG0000465	MSTRG.18621.1.p1	m.15011_1
OG0000465	SMEST016881001.1.p1, SMEST068903001.1.p1	m.12336_1
OG0000467	MSTRG.9030.3.p1	m.14300_1
OG0000468	MSTRG.5909.5.p3, SMEST016476023.1.p1, SMEST016476010.1.p1, SMEST016476001.1.p1, SMEST016476017.1.p1, MSTRG.5909.1.p1, MSTRG.5909.22.p1, MSTRG.5909.21.p1, MSTRG.5909.26.p1, SMEST016476014.1.p1, SMEST016476046.1.p1, SMEST016476047.1.p1, SMEST016476006.1.p1, MSTRG.5909.22.p3, SMEST016476004.1.p1	m.28027_1, m.28029_1, m.28030_1, m.28032_1, m.28031_1
OG0000468	SMEST017839002.1.p1, MSTRG.23236.1.p1, MSTRG.23236.6.p1, MSTRG.23236.4.p1, MSTRG.23236.1.p3, MSTRG.23236.9.p1, MSTRG.23236.10.p1	m.27587_1
OG0000470	MSTRG.15836.2.p1, MSTRG.15836.4.p1, MSTRG.15836.7.p1, SMEST057976002.1.p1, MSTRG.15836.1.p1, MSTRG.15837.2.p1	m.20925_1, m.20926_1
OG0000475	MSTRG.19068.2.p3, MSTRG.19068.4.p3, SMEST068985001.1.p1, MSTRG.19068.4.p1, MSTRG.19068.2.p1	m.19257_1
OG0000475	MSTRG.18987.11.p1, MSTRG.18987.7.p1, MSTRG.18987.9.p1, MSTRG.18987.1.p1, MSTRG.18987.10.p1, MSTRG.18987.4.p1, SMEST063593003.1.p1, MSTRG.18987.8.p2	m.36818_1, m.36819_1
OG0000478	MSTRG.21441.5.p1, MSTRG.21441.7.p1, SMEST073280001.1.p1	m.7785_1
OG0000479	SMEST010596001.1.p1	m.4404_1
OG0000479	MSTRG.2703.1.p1, SMEST009093001.1.p1	m.9902_1
OG0000479	MSTRG.3978.4.p1, MSTRG.3978.3.p1	m.7784_1
OG0000479	SMEST023415001.1.p1	m.8303_1
OG0000479	MSTRG.23651.1.p1, SMEST080901001.1.p1	m.7783_1
OG0000482	SMEST027408001.1.p1	m.5943_1
OG0000482	MSTRG.17220.2.p2, MSTRG.17220.3.p1, SMEST057144001.1.p1	m.8649_1
OG0000483	SMEST066904001.1.p1	m.21173_1
OG0000483	SMEST066912001.1.p1, MSTRG.19786.10.p1, SMEST066926002.1.p1, MSTRG.19786.1.p3, MSTRG.19786.13.p1, MSTRG.19786.15.p1, MSTRG.19786.18.p1	m.37881_1, m.37885_1
OG0000484	MSTRG.9171.21.p3, MSTRG.9171.22.p2, MSTRG.9171.17.p1, MSTRG.9171.18.p1, MSTRG.9171.15.p1, MSTRG.9171.22.p1, MSTRG.9171.21.p2, MSTRG.9171.12.p1, MSTRG.9171.16.p1, MSTRG.9171.8.p2, MSTRG.9171.4.p1, MSTRG.9171.19.p1, SMEST028689003.1.p1, SMEST028689005.1.p1	m.33380_1, m.33381_1
OG0000484	MSTRG.6775.3.p1, SMEST021277001.1.p1, MSTRG.6775.6.p1, MSTRG.6775.5.p1	m.22685_1
OG0000485	SMEST051487001.1.p1	m.15291_1
OG0000485	SMEST018230001.1.p1, MSTRG.6442.4.p1, SMEST018250004.1.p1, SMEST018250003.1.p1, SMEST018250002.1.p1, MSTRG.6443.8.p1, MSTRG.6443.10.p1, MSTRG.6443.9.p1, MSTRG.6443.4.p1, MSTRG.6442.7.p1, MSTRG.6442.5.p1, MSTRG.6442.3.p1, MSTRG.6442.8.p1, MSTRG.6442.6.p2, SMEST018237001.1.p1, MSTRG.6442.2.p1	m.7202_1
OG0000486	SMEST043809011.1.p1, SMEST043809087.1.p1, SMEST043809014.1.p1, SMEST043809005.1.p1, SMEST043809079.1.p1, SMEST043809085.1.p1, SMEST043809018.1.p1, SMEST043809042.1.p1, MSTRG.13683.77.p1, MSTRG.13683.62.p1, MSTRG.13683.63.p1, MSTRG.13683.75.p1, MSTRG.13683.64.p1, MSTRG.13683.76.p1, MSTRG.13683.79.p1, MSTRG.13683.87.p1, MSTRG.13683.84.p1, MSTRG.13683.90.p1, MSTRG.13683.24.p1, MSTRG.13683.18.p1, MSTRG.13683.20.p1, MSTRG.13683.19.p1, MSTRG.13683.14.p1, MSTRG.13683.15.p1, MSTRG.13683.10.p1, MSTRG.13683.1.p1, MSTRG.13683.18.p2, SMEST043799012.1.p1	m.1267_1
OG0000486	MSTRG.13683.98.p1	m.36391_1, m.36389_1, m.36397_1, m.36388_1, m.36392_1, m.36387_1, m.36396_1, m.36400_1, m.36393_1, m.36394_1
OG0000487	SMEST064674001.1.p1	m.5083_1
OG0000487	SMEST021944001.1.p1	m.34247_1
OG0000487	SMEST021955001.1.p1	m.34246_1
OG0000487	MSTRG.9808.3.p2, SMEST029221001.1.p1	m.112_1
OG0000487	MSTRG.11130.2.p1	m.4493_1
OG0000487	MSTRG.9471.3.p1, MSTRG.9471.1.p1, MSTRG.9471.4.p2	m.15698_1
OG0000487	MSTRG.1653.1.p1, SMEST005644001.1.p1	m.15576_1
OG0000488	MSTRG.5730.3.p1, MSTRG.5730.4.p1, MSTRG.5730.5.p1, MSTRG.5732.3.p1, SMEST015872001.1.p1	m.22561_1
OG0000488	SMEST015886002.1.p1, MSTRG.5732.4.p1, SMEST015886001.1.p1	m.8402_1
OG0000488	MSTRG.445.1.p1, SMEST025666002.1.p1	m.36972_1
OG0000490	MSTRG.16317.40.p1, SMEST053633001.1.p1	m.39130_1
OG0000490	MSTRG.16317.15.p1, MSTRG.16317.24.p1, MSTRG.16317.19.p1, MSTRG.16317.5.p1, MSTRG.16317.30.p1, SMEST053671002.1.p1, SMEST053671001.1.p1, MSTRG.16317.49.p1, MSTRG.16317.1.p2, MSTRG.16317.42.p2, MSTRG.16317.31.p2, MSTRG.16317.33.p2, MSTRG.16317.11.p2, MSTRG.16317.32.p2, MSTRG.16317.55.p1, MSTRG.16317.17.p1, MSTRG.16317.23.p1, MSTRG.16317.16.p1, MSTRG.16317.10.p1, MSTRG.16317.14.p1, MSTRG.16318.3.p1, SMEST053664002.1.p1, SMEST053664001.1.p1, MSTRG.16317.28.p1, MSTRG.16317.3.p1, MSTRG.16317.2.p1, MSTRG.16317.25.p1, MSTRG.16317.35.p1, MSTRG.16312.5.p1, MSTRG.16312.2.p1, MSTRG.16312.1.p1, MSTRG.16312.3.p1	m.39127_1, m.39129_1, m.39131_1
OG0000494	MSTRG.1809.3.p1, MSTRG.1809.2.p1, SMEST006168001.1.p1, MSTRG.1809.4.p1	m.26314_1, m.26313_1
OG0000495	MSTRG.6919.7.p1, MSTRG.6919.6.p1, MSTRG.6919.1.p1	m.42076_1, m.42059_1, m.7900_1
OG0000496	MSTRG.5154.9.p2, MSTRG.5154.5.p2	m.30322_1, m.16663_1, m.27557_1
OG0000496	SMEST042122002.1.p1, SMEST042122001.1.p1, MSTRG.19669.2.p1, MSTRG.19669.1.p1	m.32049_1
OG0000496	MSTRG.11948.1.p1, SMEST071508003.1.p1	m.23927_1
OG0000497	MSTRG.303.6.p2, MSTRG.303.3.p2, MSTRG.303.5.p1, SMEST027204003.1.p1	m.21857_1
OG0000497	MSTRG.307.3.p1, MSTRG.307.6.p1, MSTRG.307.11.p1, SMEST027217001.1.p1, MSTRG.307.16.p1, MSTRG.307.7.p1, MSTRG.307.5.p1	m.21859_1
OG0000498	SMEST051674002.1.p1	m.11763_1
OG0000500	SMEST046214002.1.p1, MSTRG.14224.4.p1, SMEST046181007.1.p1, MSTRG.14224.5.p1, SMEST046181004.1.p1, MSTRG.14224.1.p1, SMEST046236008.1.p1, SMEST046192004.1.p1	m.22524_1
OG0000501	SMEST048503001.1.p1, SMEST048502001.1.p1	m.6468_1
OG0000502	MSTRG.19680.8.p2, MSTRG.19680.6.p1, MSTRG.19680.7.p1, MSTRG.19680.8.p1, SMEST066441001.1.p1	m.19936_1
OG0000502	MSTRG.19680.6.p2, MSTRG.20060.5.p1	m.20338_1
OG0000503	SMEST012845001.1.p1	m.34136_1
OG0000503	MSTRG.20396.21.p2, MSTRG.20396.20.p1, MSTRG.20396.15.p1, MSTRG.20396.6.p2, MSTRG.20396.21.p1, MSTRG.20396.22.p1, MSTRG.20396.18.p1, MSTRG.20396.26.p1, MSTRG.20396.16.p1, MSTRG.20396.27.p1, SMEST074035013.1.p1, MSTRG.20396.8.p2, MSTRG.20396.6.p3, MSTRG.20396.11.p2, MSTRG.20396.16.p2, SMEST074035006.1.p1, SMEST074035015.1.p1, SMEST074035018.1.p1, SMEST074035020.1.p1, MSTRG.20396.10.p1, MSTRG.20396.8.p1, MSTRG.20396.12.p1, MSTRG.20396.7.p1	m.34729_1
OG0000503	MSTRG.6402.4.p1, MSTRG.6402.3.p1, SMEST018097002.1.p1, SMEST018097001.1.p1	m.2555_1
OG0000504	MSTRG.8959.3.p6, MSTRG.8959.3.p4, MSTRG.8959.3.p3, MSTRG.8959.3.p1, SMEST041514001.1.p1	m.37471_1, m.37474_1, m.37473_1
OG0000506	SMEST030607002.1.p1	m.29716_1
OG0000506	MSTRG.5465.2.p2, SMEST017281001.1.p1	m.21332_1, m.21331_1, m.13127_1
OG0000506	MSTRG.5464.10.p1, MSTRG.5464.7.p1, MSTRG.5464.2.p2, SMEST031930001.1.p1	m.11737_1
OG0000506	MSTRG.5464.7.p2, MSTRG.5464.2.p1, MSTRG.5464.5.p1, MSTRG.5464.4.p1, SMEST017279001.1.p1, MSTRG.5465.2.p3, MSTRG.5465.4.p1, MSTRG.5464.9.p3	m.29536_1, m.29533_1
OG0000506	MSTRG.8849.3.p1, SMEST042567003.1.p1, MSTRG.8849.5.p2	m.21566_1
OG0000507	MSTRG.12237.8.p1, SMEST039123001.1.p1, MSTRG.12237.7.p1, SMEST039123003.1.p1, MSTRG.12237.1.p1, MSTRG.12237.6.p1, MSTRG.12237.5.p1	m.293_1
OG0000508	SMEST015163001.1.p1	m.9084_1
OG0000508	MSTRG.7638.1.p1, MSTRG.7638.2.p1, MSTRG.7638.3.p1	m.6198_1
OG0000508	SMEST074402001.1.p1	m.6631_1
OG0000509	SMEST016195001.1.p1, MSTRG.5857.3.p1	m.3352_1
OG0000509	MSTRG.1408.3.p1, SMEST001723002.1.p1, MSTRG.1408.13.p1, MSTRG.1408.2.p1, MSTRG.1408.8.p1, MSTRG.1408.7.p1, SMEST001708001.1.p1	m.22217_1, m.22216_1
OG0000510	SMEST080327001.1.p1, MSTRG.23503.15.p1, MSTRG.13435.5.p4, SMEST010240004.1.p1, MSTRG.13435.18.p3, MSTRG.13435.21.p2, MSTRG.13435.23.p2, MSTRG.3926.6.p2, MSTRG.3926.11.p1, MSTRG.3926.8.p1	m.41086_1
OG0000510	MSTRG.3926.5.p3, MSTRG.3926.6.p1, MSTRG.3926.8.p2, SMEST010240003.1.p1, SMEST010240001.1.p1, MSTRG.3926.1.p1	m.41084_1
OG0000510	MSTRG.3926.8.p4, MSTRG.3926.9.p1, MSTRG.23503.5.p2, SMEST080325004.1.p1, MSTRG.23503.3.p4, MSTRG.13435.18.p1, MSTRG.13435.14.p5, MSTRG.13435.5.p3, MSTRG.13435.19.p1, MSTRG.13435.14.p1, SMEST051188007.1.p1, MSTRG.13435.32.p3, MSTRG.13435.14.p2, SMEST051188006.1.p1, SMEST051188005.1.p1	m.17836_1, m.17833_1, m.17838_1, m.17839_1
OG0000513	SMEST060666001.1.p1	m.3886_1
OG0000514	SMEST046611001.1.p1, SMEST046611002.1.p1, MSTRG.14443.3.p1	m.12428_1
OG0000514	MSTRG.15019.4.p1, MSTRG.15019.8.p2, MSTRG.15019.1.p1	m.18374_1
OG0000514	SMEST048607001.1.p1	m.18990_1
OG0000514	MSTRG.7139.8.p1, MSTRG.7139.7.p1	m.18993_1, m.18989_1
OG0000514	MSTRG.22964.4.p2, SMEST078460001.1.p1, MSTRG.22964.7.p1, MSTRG.22964.5.p1	m.12712_1
OG0000514	MSTRG.7501.3.p1, MSTRG.7501.4.p1, SMEST022978001.1.p1	m.14874_1
OG0000514	MSTRG.9485.1.p1	m.8213_1
OG0000514	MSTRG.12942.18.p1, MSTRG.9485.5.p1, MSTRG.12942.9.p1, MSTRG.12942.15.p1, MSTRG.12942.2.p1, MSTRG.12942.12.p1, SMEST040474002.1.p1, SMEST040474001.1.p1, MSTRG.12942.3.p1	m.7846_1
OG0000514	SMEST078022001.1.p1, MSTRG.21733.1.p1	m.12666_1
OG0000514	MSTRG.21733.1.p2, SMEST078022002.1.p2, MSTRG.21733.2.p1, MSTRG.21733.3.p1	m.8211_1
OG0000515	SMEST062296001.1.p2, MSTRG.9362.14.p1, MSTRG.9362.13.p3, MSTRG.9362.11.p2, MSTRG.9362.5.p1	m.38522_1
OG0000515	MSTRG.18576.10.p2, MSTRG.18576.3.p1, MSTRG.18576.9.p2, MSTRG.18576.6.p1, MSTRG.18576.8.p1, SMEST062296002.1.p1	m.32403_1
OG0000517	MSTRG.2718.4.p1, MSTRG.2718.3.p1, SMEST009142001.1.p1, MSTRG.2718.2.p1	m.829_1
OG0000518	MSTRG.10319.2.p1	m.37202_1, m.37198_1, m.37191_1, m.37192_1, m.37186_1, m.37197_1, m.37201_1, m.16138_1
OG0000518	MSTRG.10502.3.p1, MSTRG.10502.4.p1, SMEST033499001.1.p1, MSTRG.10502.5.p2, MSTRG.10502.7.p1	m.13432_1
OG0000520	SMEST039746001.1.p1	m.10062_1
OG0000521	MSTRG.7031.3.p1, SMEST020105003.1.p1	m.3531_1
OG0000521	MSTRG.6786.3.p1, MSTRG.6786.5.p1, SMEST021327001.1.p1	m.11705_1
OG0000521	MSTRG.7899.1.p1	m.26041_1
OG0000521	MSTRG.19407.1.p1	m.9793_1
OG0000523	SMEST007225001.1.p1, MSTRG.3075.2.p1, MSTRG.3075.5.p1, MSTRG.3075.4.p1	m.9653_1
OG0000523	MSTRG.22556.4.p1, MSTRG.22556.3.p1, SMEST076911001.1.p1	m.32931_1, m.42625_1
OG0000523	SMEST077405002.1.p1, MSTRG.21529.2.p1, SMEST077404002.1.p1	m.2897_1
OG0000523	SMEST012033001.1.p1	m.7576_1
OG0000523	SMEST054251001.1.p1	m.202_1
OG0000523	MSTRG.11248.2.p1, MSTRG.9069.1.p1	m.5413_1
OG0000524	SMEST009900001.1.p1, MSTRG.3789.3.p3	m.18788_1
OG0000524	MSTRG.5993.5.p1	m.11548_1
OG0000524	MSTRG.5993.3.p1	m.11549_1
OG0000524	MSTRG.5859.3.p1, SMEST016199001.1.p1	m.13080_1
OG0000528	MSTRG.5986.2.p1, MSTRG.5986.1.p1	m.9004_1
OG0000528	MSTRG.976.1.p1, SMEST000287001.1.p1, SMEST011499001.1.p1, SMEST000077001.1.p1, SMEST069045001.1.p1, MSTRG.19079.2.p1, SMEST069049001.1.p1, MSTRG.17154.3.p1, SMEST000254001.1.p1, SMEST012985001.1.p1	m.32973_1
OG0000528	SMEST000088001.1.p1	m.23390_1
OG0000528	SMEST071239001.1.p1	m.10719_1
OG0000528	MSTRG.21213.1.p1, MSTRG.21213.2.p1, SMEST072400001.1.p1	m.26613_1
OG0000528	SMEST001612001.1.p1	m.15950_1
OG0000528	SMEST020111001.1.p1	m.16206_1
OG0000528	MSTRG.7038.3.p1, SMEST020112001.1.p1	m.18057_1
OG0000529	MSTRG.17347.1.p1	m.1710_1
OG0000529	SMEST040748001.1.p1	m.8601_1
OG0000529	MSTRG.12739.2.p1, SMEST041446001.1.p1, MSTRG.12739.1.p2	m.3964_1
OG0000530	MSTRG.17921.1.p1	m.40507_1
OG0000530	MSTRG.18505.8.p2	m.8055_1
OG0000530	MSTRG.23510.1.p1	m.9311_1
OG0000530	MSTRG.21450.1.p1, SMEST073008002.1.p1, MSTRG.21450.3.p1	m.25752_1, m.25751_1
OG0000530	MSTRG.18505.3.p2, MSTRG.18505.8.p1, SMEST061907001.1.p1, MSTRG.18505.2.p1, MSTRG.18505.4.p1	m.8052_1, m.28772_1, m.28770_1
OG0000531	MSTRG.12075.4.p1, MSTRG.12075.2.p2, MSTRG.12075.5.p1, SMEST039010001.1.p1	m.16058_1
OG0000531	SMEST021124001.1.p1	m.29477_1
OG0000534	SMEST015216001.1.p1	m.32833_1
OG0000534	SMEST002984002.1.p2, SMEST018622001.1.p1	m.42366_1
OG0000534	SMEST067334001.1.p1, SMEST012464001.1.p1, SMEST073618001.1.p1, SMEST021522001.1.p1, SMEST015117001.1.p1, SMEST012464002.1.p1, SMEST068262001.1.p1, SMEST007021001.1.p1	m.42364_1, m.39948_1
OG0000534	MSTRG.18769.13.p2, SMEST039741001.1.p1	m.23435_1
OG0000534	SMEST015089001.1.p1, MSTRG.10963.6.p3, SMEST060260003.1.p1	m.33967_1
OG0000534	SMEST071198001.1.p1, SMEST024380001.1.p1, SMEST068295001.1.p2	m.31560_1
OG0000534	MSTRG.2944.1.p1	m.22322_1, m.27695_1, m.31438_1
OG0000535	SMEST037977002.1.p1	m.39650_1
OG0000535	MSTRG.20455.1.p1	m.16073_1
OG0000535	MSTRG.11706.1.p1	m.37916_1
OG0000536	MSTRG.12867.13.p2, MSTRG.12867.6.p2, MSTRG.12867.16.p1, MSTRG.12867.7.p1, MSTRG.12867.8.p1, SMEST041357002.1.p1, MSTRG.12867.5.p1, MSTRG.12867.10.p1, MSTRG.12867.9.p1, MSTRG.12867.11.p2	m.26103_1, m.26107_1
OG0000536	MSTRG.8746.5.p2, MSTRG.8746.8.p1, SMEST042173010.1.p1, MSTRG.8746.15.p2, MSTRG.8746.7.p2, MSTRG.8740.1.p2, SMEST042173003.1.p1, MSTRG.8746.18.p1, MSTRG.8746.10.p1, MSTRG.8746.14.p1, MSTRG.8746.17.p1, MSTRG.8746.7.p1, MSTRG.8746.9.p2, MSTRG.8746.6.p2	m.18564_1
OG0000537	SMEST038805001.1.p1, MSTRG.12144.1.p1	m.3564_1
OG0000537	MSTRG.7868.5.p1, MSTRG.7868.6.p2, MSTRG.7868.1.p1, SMEST048635001.1.p1	m.2829_1
OG0000537	MSTRG.2121.3.p1, MSTRG.2121.2.p1, SMEST004060001.1.p1	m.4559_1
OG0000537	SMEST054120001.1.p1	m.14317_1
OG0000537	MSTRG.9091.1.p1, SMEST029097001.1.p1	m.16680_1
OG0000537	SMEST047530001.1.p1	m.7995_1
OG0000538	MSTRG.13647.1.p1, MSTRG.13647.3.p1, SMEST043835001.1.p1	m.25912_1
OG0000545	MSTRG.19838.2.p1, SMEST066759001.1.p1	m.7828_1
OG0000545	MSTRG.13770.3.p2, MSTRG.13770.4.p1, SMEST044227001.1.p1	m.5473_1
OG0000545	MSTRG.3311.1.p1	m.438_1
OG0000545	SMEST046084001.1.p1, MSTRG.14307.1.p1, SMEST046087001.1.p1	m.6336_1
OG0000546	MSTRG.17221.2.p1, MSTRG.17221.3.p1	m.36571_1
OG0000546	MSTRG.21781.1.p2, MSTRG.21781.2.p2	m.43548_1
OG0000546	MSTRG.4835.1.p2	m.12901_1
OG0000546	SMEST013406001.1.p1, MSTRG.4835.4.p1	m.12902_1
OG0000546	SMEST054118001.1.p1	m.22830_1, m.23930_1
OG0000546	MSTRG.9191.1.p1	m.43552_1
OG0000547	MSTRG.14197.3.p1, SMEST044930003.1.p1, MSTRG.10025.1.p1	m.11439_1
OG0000547	MSTRG.11046.2.p2, SMEST035182001.1.p1	m.3816_1
OG0000548	SMEST035900001.1.p1	m.30994_1, m.30993_1
OG0000549	MSTRG.114.1.p1	m.37948_1, m.37950_1
OG0000549	SMEST008972001.1.p1, SMEST009027001.1.p1, SMEST051787002.1.p1, MSTRG.2580.2.p1, SMEST008883001.1.p1, MSTRG.2580.5.p1, MSTRG.2580.6.p1, SMEST009005001.1.p1, MSTRG.2578.3.p1, SMEST008761002.1.p1, SMEST043054001.1.p1, SMEST043074001.1.p1, MSTRG.2580.7.p1	m.13195_1
OG0000549	MSTRG.13703.1.p1, SMEST043052001.1.p1, MSTRG.13701.2.p1, SMEST043068001.1.p1, MSTRG.13706.1.p1, SMEST043063002.1.p1	m.35350_1
OG0000549	MSTRG.7813.2.p1, MSTRG.7813.3.p1	m.14173_1, m.27906_1, m.27901_1, m.27900_1, m.24355_1, m.12555_1
OG0000549	MSTRG.2581.2.p2, MSTRG.2580.8.p1, MSTRG.2580.1.p1	m.13196_1
OG0000552	SMEST077798001.1.p1, MSTRG.21646.4.p1	m.4602_1, m.10445_1
OG0000552	MSTRG.1073.5.p1, SMEST000522002.1.p1	m.14508_1, m.14504_1, m.14506_1
OG0000552	MSTRG.11243.1.p1, SMEST034472001.1.p1	m.8924_1
OG0000553	MSTRG.6049.2.p1, SMEST018885002.1.p1, MSTRG.6049.11.p1, MSTRG.6049.10.p3, MSTRG.6049.3.p1, MSTRG.6049.1.p1	m.14258_1
OG0000554	MSTRG.22705.2.p2, MSTRG.22705.4.p1, MSTRG.22705.2.p1, MSTRG.22705.3.p3, SMEST081033002.1.p1	m.22848_1
OG0000554	MSTRG.4277.8.p1, MSTRG.4277.4.p1, MSTRG.4277.2.p2, MSTRG.4277.3.p1, MSTRG.4277.1.p1	m.20938_1
OG0000554	MSTRG.12507.8.p1, SMEST039925002.1.p1, MSTRG.12507.1.p1	m.36936_1, m.36931_1
OG0000554	SMEST051054001.1.p1	m.30146_1
OG0000554	SMEST076590001.1.p1	m.40999_1, m.41003_1
OG0000555	SMEST043410006.1.p1, SMEST043410003.1.p1, SMEST043410001.1.p1, MSTRG.13520.3.p1, SMEST043412001.1.p1, MSTRG.13520.1.p1, MSTRG.13520.2.p1	m.23405_1
OG0000555	SMEST037133001.1.p1	m.8935_1, m.8931_1, m.8933_1
OG0000556	SMEST054104001.1.p1, MSTRG.16307.3.p1, MSTRG.16307.8.p2	m.31917_1, m.31920_1
OG0000556	MSTRG.1799.31.p1, MSTRG.1799.28.p3	m.38993_1
OG0000561	SMEST028264001.1.p1, MSTRG.9520.1.p1, MSTRG.10225.2.p1, MSTRG.10225.1.p1, MSTRG.14393.1.p1, SMEST046618002.1.p1, MSTRG.10225.5.p1, SMEST046718001.1.p1, MSTRG.14394.3.p1	m.13243_1
OG0000561	MSTRG.9518.1.p1	m.14793_1, m.14791_1
OG0000561	SMEST008789001.1.p1, MSTRG.2625.1.p1	m.7391_1
OG0000561	SMEST078340001.1.p1, MSTRG.23000.7.p1	m.31358_1, m.31359_1
OG0000561	MSTRG.10225.2.p2	m.14792_1
OG0000561	SMEST056362002.1.p1, MSTRG.16906.8.p1, MSTRG.16906.5.p1, MSTRG.16906.9.p2	m.17417_1
OG0000561	SMEST056365001.1.p1	m.38498_1
OG0000561	MSTRG.16348.60.p1, MSTRG.16348.66.p1, MSTRG.16348.61.p1, MSTRG.16348.63.p1, MSTRG.16348.27.p2, MSTRG.16348.39.p2, MSTRG.16348.45.p1, MSTRG.16348.43.p1, MSTRG.16348.59.p1, SMEST054032001.1.p1, MSTRG.16348.42.p1, MSTRG.16348.4.p1, SMEST053708005.1.p1, MSTRG.16348.53.p1, MSTRG.16348.18.p1, MSTRG.16348.31.p1, MSTRG.16348.26.p1, MSTRG.16348.11.p1, MSTRG.16348.51.p1, MSTRG.16348.41.p1, MSTRG.16348.40.p1, MSTRG.16348.13.p1, MSTRG.16348.7.p1, MSTRG.16348.36.p1, MSTRG.16348.51.p2, MSTRG.16348.50.p1, SMEST053698001.1.p1, MSTRG.16348.8.p1, MSTRG.16348.37.p1, MSTRG.16348.28.p1, MSTRG.16348.19.p1, MSTRG.16348.17.p1, SMEST053703001.1.p1, MSTRG.16348.34.p3, MSTRG.16348.12.p2	m.10891_1, m.10890_1, m.4686_1
OG0000561	MSTRG.5050.3.p1	m.29926_1, m.29927_1, m.29929_1, m.29925_1, m.25634_1, m.25630_1, m.5492_1, m.5491_1, m.16910_1, m.16905_1, m.16908_1, m.16906_1, m.7027_1, m.7026_1, m.7028_1, m.16904_1, m.5626_1
